fetures,p-val
AL158063.1_MSTRG.25245,0.6523867862529578
-_MSTRG.49432,
-_MSTRG.31277,
-_MSTRG.29801,
-_MSTRG.1601,
-_MSTRG.47941,
RN7SL220P_MSTRG.11217,0.380895620795627
-_MSTRG.75902,
AC093326.1_MSTRG.46297,0.12052173005232432
-_MSTRG.21970,
CTBP2P1_MSTRG.96269,0.5655781542630063
-_MSTRG.52074,
-_MSTRG.70750,
-_MSTRG.60141,
FNDC1-IT1_MSTRG.78696,0.35781949370476707
AC087045.2_MSTRG.87865,0.009465520445692713
-_MSTRG.80594,
-_MSTRG.4905,
RNU6-196P_MSTRG.33266,0.3574917100561673
AL033527.4_MSTRG.2428,0.9144851317474187
-_MSTRG.63958,
-_MSTRG.85521,
-_MSTRG.78494,
-_MSTRG.70299,
-_MSTRG.3668,
-_MSTRG.24626,
-_MSTRG.25406,
-_MSTRG.34207,
-_MSTRG.25557,
BRCC3P1_MSTRG.73695,0.0016642082022164772
-_MSTRG.63986,
-_MSTRG.24525,
-_MSTRG.52357,
-_MSTRG.72533,
-_MSTRG.10195,
DACT3-AS1_MSTRG.45197,2.8514702266831413e-05
-_MSTRG.4865,
-_MSTRG.84820,
-_MSTRG.39323,
